,Speaker,Topic,Token
347,Jina,Art and Exhibition,thank
348,Jina,Art and Exhibition,sorri
349,Jina,Art and Exhibition,help
350,Jina,Art and Exhibition,let
351,Jina,Art and Exhibition,alon
352,Jina,Art and Exhibition,know
353,Jina,Art and Exhibition,deal
354,Jina,Art and Exhibition,harsh
355,Jina,Art and Exhibition,huh
356,Jina,Art and Exhibition,visibl
357,Jina,Art and Exhibition,right
358,Jina,Art and Exhibition,visibl
359,Jina,Art and Exhibition,compar
360,Jina,Art and Exhibition,physic
361,Jina,Art and Exhibition,handicap
362,Jina,Art and Exhibition,mental
363,Jina,Art and Exhibition,health
364,Jina,Art and Exhibition,big
365,Jina,Art and Exhibition,big
366,Jina,Art and Exhibition,problem
367,Jina,Art and Exhibition,visibl
368,Jina,Art and Exhibition,hard
369,Jina,Art and Exhibition,explain
370,Jina,Art and Exhibition,feel
371,Jina,Art and Exhibition,eat
372,Jina,Art and Exhibition,sleep
373,Jina,Art and Exhibition,feel
374,Jina,Art and Exhibition,break
375,Jina,Art and Exhibition,boyfriend
376,Jina,Art and Exhibition,someth
377,Jina,Art and Exhibition,peopl
378,Jina,Art and Exhibition,exactli
379,Jina,Art and Exhibition,interest
380,Jina,Art and Exhibition,heard
381,Jina,Art and Exhibition,use
382,Jina,Art and Exhibition,date
383,Jina,Art and Exhibition,someon
384,Jina,Art and Exhibition,understand
385,Jina,Art and Exhibition,mental
386,Jina,Art and Exhibition,understand
387,Jina,Art and Exhibition,case
388,Jina,Art and Exhibition,person
389,Jina,Art and Exhibition,stori
390,Jina,Art and Exhibition,suffer
391,Jina,Art and Exhibition,issu
392,Jina,Art and Exhibition,past
393,Jina,Art and Exhibition,boyfriend
394,Jina,Art and Exhibition,heart
395,Jina,Art and Exhibition,broken
396,Jina,Art and Exhibition,understand
397,Jina,Art and Exhibition,almost
398,Jina,Art and Exhibition,treat
399,Jina,Art and Exhibition,crazi
400,Jina,Art and Exhibition,person
401,Jina,Art and Exhibition,sometim
402,Jina,Art and Exhibition,afraid
403,Jina,Art and Exhibition,next
404,Jina,Art and Exhibition,time
405,Jina,Art and Exhibition,meet
406,Jina,Art and Exhibition,person
407,Jina,Art and Exhibition,new
408,Jina,Art and Exhibition,guy
409,Jina,Art and Exhibition,someth
410,Jina,Art and Exhibition,relationship
411,Jina,Art and Exhibition,first
412,Jina,Art and Exhibition,open
413,Jina,Art and Exhibition,challeng
414,Jina,Art and Exhibition,challeng
415,Jina,Art and Exhibition,reject
416,Jina,Art and Exhibition,know
417,Jina,Art and Exhibition,expect
418,Jina,Art and Exhibition,understand
419,Jina,Art and Exhibition,stuff
420,Jina,Art and Exhibition,patient
421,Jina,Art and Exhibition,enough
422,Jina,Art and Exhibition,person
423,Jina,Art and Exhibition,issu
424,Jina,Art and Exhibition,someth
425,Jina,Art and Exhibition,deal
426,Jina,Art and Exhibition,happen
427,Jina,Art and Exhibition,recent
428,Jina,Art and Exhibition,back
429,Jina,Art and Exhibition,topic
430,Jina,Art and Exhibition,use
431,Jina,Art and Exhibition,stress
432,Jina,Art and Exhibition,stress
433,Jina,Art and Exhibition,japanes
434,Jina,Art and Exhibition,cultur
435,Jina,Art and Exhibition,japanes
436,Jina,Art and Exhibition,relationship
437,Jina,Art and Exhibition,way
438,Jina,Art and Exhibition,build
439,Jina,Art and Exhibition,relationship
440,Jina,Art and Exhibition,countri
441,Jina,Art and Exhibition,love
442,Jina,Art and Exhibition,certain
443,Jina,Art and Exhibition,distanc
444,Jina,Art and Exhibition,share
445,Jina,Art and Exhibition,share
446,Jina,Art and Exhibition,problem
447,Jina,Art and Exhibition,share
448,Jina,Art and Exhibition,problem
449,Jina,Art and Exhibition,bring
450,Jina,Art and Exhibition,burden
451,Jina,Art and Exhibition,someon
452,Jina,Art and Exhibition,els
453,Jina,Art and Exhibition,friend
454,Jina,Art and Exhibition,someth
455,Jina,Art and Exhibition,influenc
456,Jina,Art and Exhibition,cultur
457,Jina,Art and Exhibition,live
458,Jina,Art and Exhibition,long
459,Jina,Art and Exhibition,time
460,Jina,Art and Exhibition,depress
461,Jina,Art and Exhibition,hate
462,Jina,Art and Exhibition,cultur
463,Jina,Art and Exhibition,share
464,Jina,Art and Exhibition,feel
465,Jina,Art and Exhibition,suffer
466,Jina,Art and Exhibition,peopl
467,Jina,Art and Exhibition,japanes
468,Jina,Art and Exhibition,friend
469,Jina,Art and Exhibition,know
470,Jina,Art and Exhibition,appar
471,Jina,Art and Exhibition,suffer
472,Jina,Art and Exhibition,person
473,Jina,Art and Exhibition,problem
474,Jina,Art and Exhibition,share
475,Jina,Art and Exhibition,piss
476,Jina,Art and Exhibition,know
477,Jina,Art and Exhibition,cultur
478,Jina,Art and Exhibition,anyth
479,Jina,Art and Exhibition,suffer
480,Jina,Art and Exhibition,obvious
481,Jina,Art and Exhibition,tell
482,Jina,Art and Exhibition,rememb
483,Jina,Art and Exhibition,quit
484,Jina,Art and Exhibition,job
485,Jina,Art and Exhibition,stress
486,Jina,Art and Exhibition,know
487,Jina,Art and Exhibition,stress
488,Jina,Art and Exhibition,place
489,Jina,Art and Exhibition,took
490,Jina,Art and Exhibition,beer
491,Jina,Art and Exhibition,noth
492,Jina,Art and Exhibition,fine
493,Jina,Art and Exhibition,fine
494,Jina,Art and Exhibition,tri
495,Jina,Art and Exhibition,mani
496,Jina,Art and Exhibition,time
497,Jina,Art and Exhibition,patient
498,Jina,Art and Exhibition,start
499,Jina,Art and Exhibition,speak
500,Jina,Art and Exhibition,friendship
501,Jina,Art and Exhibition,total
502,Jina,Art and Exhibition,collaps
503,Jina,Art and Exhibition,girl
504,Jina,Art and Exhibition,help
505,Jina,Art and Exhibition,let
506,Jina,Art and Exhibition,sorri
507,Jina,Art and Exhibition,friendship
508,Jina,Art and Exhibition,work
509,Jina,Art and Exhibition,red
510,Jina,Art and Exhibition,dress
511,Jina,Art and Exhibition,girl
512,Jina,Art and Exhibition,agre
513,Jina,Art and Exhibition,form
514,Jina,Art and Exhibition,self
515,Jina,Art and Exhibition,therapi
516,Jina,Art and Exhibition,case
517,Jina,Art and Exhibition,reason
518,Jina,Art and Exhibition,chose
519,Jina,Art and Exhibition,photographi
520,Jina,Art and Exhibition,simpli
521,Jina,Art and Exhibition,think
522,Jina,Art and Exhibition,art
523,Jina,Art and Exhibition,tool
524,Jina,Art and Exhibition,express
525,Jina,Art and Exhibition,good
526,Jina,Art and Exhibition,write
527,Jina,Art and Exhibition,said
528,Jina,Art and Exhibition,look
529,Jina,Art and Exhibition,someth
530,Jina,Art and Exhibition,visual
531,Jina,Art and Exhibition,feel
532,Jina,Art and Exhibition,simpli
533,Jina,Art and Exhibition,photoshoot
534,Jina,Art and Exhibition,model
535,Jina,Art and Exhibition,case
536,Jina,Art and Exhibition,use
537,Jina,Art and Exhibition,model
538,Jina,Art and Exhibition,20
539,Jina,Art and Exhibition,commerci
540,Jina,Art and Exhibition,model
541,Jina,Art and Exhibition,time
542,Jina,Art and Exhibition,bit
543,Jina,Art and Exhibition,differ
544,Jina,Art and Exhibition,purpos
545,Jina,Art and Exhibition,feel
546,Jina,Art and Exhibition,confid
547,Jina,Art and Exhibition,chose
548,Jina,Art and Exhibition,good
549,Jina,Art and Exhibition,build
550,Jina,Art and Exhibition,career
551,Jina,Art and Exhibition,model
552,Jina,Art and Exhibition,creat
553,Jina,Art and Exhibition,brush
554,Jina,Art and Exhibition,creativ
555,Jina,Art and Exhibition,skill
556,Jina,Art and Exhibition,exhibit
557,Jina,Art and Exhibition,photographi
558,Jina,Art and Exhibition,work
559,Jina,Art and Exhibition,use
560,Jina,Art and Exhibition,paint
561,Jina,Art and Exhibition,tool
562,Jina,Art and Exhibition,make
563,Jina,Art and Exhibition,origin
564,Jina,Art and Exhibition,photographi
565,Jina,Art and Exhibition,better
566,Jina,Art and Exhibition,write
567,Jina,Art and Exhibition,photographi
568,Jina,Art and Exhibition,mix
569,Jina,Art and Exhibition,media
570,Jina,Art and Exhibition,concept
571,Jina,Art and Exhibition,someth
572,Jina,Art and Exhibition,monochrom
573,Jina,Art and Exhibition,cours
574,Jina,Art and Exhibition,take
575,Jina,Art and Exhibition,photo
576,Jina,Art and Exhibition,bring
577,Jina,Art and Exhibition,prepar
578,Jina,Art and Exhibition,difficulti
579,Jina,Art and Exhibition,photograph
580,Jina,Art and Exhibition,alreadi
581,Jina,Art and Exhibition,told
582,Jina,Art and Exhibition,hey
583,Jina,Art and Exhibition,behav
584,Jina,Art and Exhibition,depress
585,Jina,Art and Exhibition,said
586,Jina,Art and Exhibition,hm
587,Jina,Art and Exhibition,look
588,Jina,Art and Exhibition,depress
589,Jina,Art and Exhibition,matter
590,Jina,Art and Exhibition,act
591,Jina,Art and Exhibition,captur
592,Jina,Art and Exhibition,photograph
593,Jina,Art and Exhibition,view
594,Jina,Art and Exhibition,eye
595,Jina,Art and Exhibition,look
596,Jina,Art and Exhibition,import
597,Jina,Art and Exhibition,photographi
598,Jina,Art and Exhibition,model
599,Jina,Art and Exhibition,photograph
600,Jina,Art and Exhibition,know
601,Jina,Art and Exhibition,look
602,Jina,Art and Exhibition,photo
603,Jina,Art and Exhibition,print
604,Jina,Art and Exhibition,easi
605,Jina,Art and Exhibition,tri
606,Jina,Art and Exhibition,bring
607,Jina,Art and Exhibition,feel
608,Jina,Art and Exhibition,depress
609,Jina,Art and Exhibition,bit
610,Jina,Art and Exhibition,sad
611,Jina,Art and Exhibition,feel
612,Jina,Art and Exhibition,sad
613,Jina,Art and Exhibition,eye
614,Jina,Art and Exhibition,photograph
615,Jina,Art and Exhibition,enough
616,Jina,Art and Exhibition,captur
617,Jina,Art and Exhibition,depress
618,Jina,Art and Exhibition,feel
619,Jina,Art and Exhibition,intent
620,Jina,Art and Exhibition,mask
621,Jina,Art and Exhibition,room
622,Jina,Art and Exhibition,situat
623,Jina,Art and Exhibition,symbol
624,Jina,Art and Exhibition,point
625,Jina,Art and Exhibition,pictur
626,Jina,Art and Exhibition,light
627,Jina,Art and Exhibition,make
628,Jina,Art and Exhibition,darker
629,Jina,Art and Exhibition,photographi
630,Jina,Art and Exhibition,reason
631,Jina,Art and Exhibition,photographi
632,Jina,Art and Exhibition,sometim
633,Jina,Art and Exhibition,photograph
634,Jina,Art and Exhibition,captur
635,Jina,Art and Exhibition,someth
636,Jina,Art and Exhibition,realis
637,Jina,Art and Exhibition,eye
638,Jina,Art and Exhibition,alway
639,Jina,Art and Exhibition,enjoy
640,Jina,Art and Exhibition,work
641,Jina,Art and Exhibition,differ
642,Jina,Art and Exhibition,photograph
643,Jina,Art and Exhibition,object
644,Jina,Art and Exhibition,environ
645,Jina,Art and Exhibition,differ
646,Jina,Art and Exhibition,perspect
647,Jina,Art and Exhibition,fun
648,Jina,Art and Exhibition,sometim
649,Jina,Art and Exhibition,print
650,Jina,Art and Exhibition,reserv
651,Jina,Art and Exhibition,talk
652,Jina,Art and Exhibition,know
653,Jina,Art and Exhibition,facial
654,Jina,Art and Exhibition,express
655,Jina,Art and Exhibition,know
656,Jina,Art and Exhibition,pose
657,Jina,Art and Exhibition,know
658,Jina,Art and Exhibition,tend
659,Jina,Art and Exhibition,use
660,Jina,Art and Exhibition,hand
661,Jina,Art and Exhibition,want
662,Jina,Art and Exhibition,find
663,Jina,Art and Exhibition,work
664,Jina,Art and Exhibition,tri
665,Jina,Art and Exhibition,focu
666,Jina,Art and Exhibition,depress
667,Jina,Art and Exhibition,feel
668,Jina,Art and Exhibition,sort
669,Jina,Art and Exhibition,facial
670,Jina,Art and Exhibition,express
671,Jina,Art and Exhibition,depress
672,Jina,Art and Exhibition,someth
673,Jina,Art and Exhibition,found
674,Jina,Art and Exhibition,know
675,Jina,Art and Exhibition,work
676,Jina,Art and Exhibition,four
677,Jina,Art and Exhibition,photograph
678,Jina,Art and Exhibition,right
679,Jina,Art and Exhibition,differ
680,Jina,Art and Exhibition,background
681,Jina,Art and Exhibition,term
682,Jina,Art and Exhibition,nation
683,Jina,Art and Exhibition,term
684,Jina,Art and Exhibition,job
685,Jina,Art and Exhibition,differ
686,Jina,Art and Exhibition,person
687,Jina,Art and Exhibition,differ
688,Jina,Art and Exhibition,person
689,Jina,Art and Exhibition,excit
690,Jina,Art and Exhibition,see
691,Jina,Art and Exhibition,result
692,Jina,Art and Exhibition,done
693,Jina,Art and Exhibition,select
694,Jina,Art and Exhibition,photo
695,Jina,Art and Exhibition,display
696,Jina,Art and Exhibition,exhibit
697,Jina,Art and Exhibition,excit
698,Jina,Art and Exhibition,dark
699,Jina,Art and Exhibition,shot
700,Jina,Art and Exhibition,daneel
701,Jina,Art and Exhibition,difficult
702,Jina,Art and Exhibition,topic
703,Jina,Art and Exhibition,difficult
704,Jina,Art and Exhibition,show
705,Jina,Art and Exhibition,look
706,Jina,Art and Exhibition,depress
707,Jina,Art and Exhibition,object
708,Jina,Art and Exhibition,respect
709,Jina,Art and Exhibition,opinion
710,Jina,Art and Exhibition,captur
711,Jina,Art and Exhibition,object
712,Jina,Art and Exhibition,negoti
713,Jina,Art and Exhibition,tri
714,Jina,Art and Exhibition,want
715,Jina,Art and Exhibition,look
716,Jina,Art and Exhibition,powerless
717,Jina,Art and Exhibition,sit
718,Jina,Art and Exhibition,sofa
719,Jina,Art and Exhibition,think
720,Jina,Art and Exhibition,someth
721,Jina,Art and Exhibition,almost
722,Jina,Art and Exhibition,zombi
723,Jina,Art and Exhibition,stare
724,Jina,Art and Exhibition,place
725,Jina,Art and Exhibition,noth
726,Jina,Art and Exhibition,look
727,Jina,Art and Exhibition,bore
728,Jina,Art and Exhibition,problem
729,Jina,Art and Exhibition,look
730,Jina,Art and Exhibition,bore
731,Jina,Art and Exhibition,impact
732,Jina,Art and Exhibition,start
733,Jina,Art and Exhibition,think
734,Jina,Art and Exhibition,ask
735,Jina,Art and Exhibition,tell
736,Jina,Art and Exhibition,feel
737,Jina,Art and Exhibition,bad
738,Jina,Art and Exhibition,depress
739,Jina,Art and Exhibition,room
740,Jina,Art and Exhibition,super
741,Jina,Art and Exhibition,messi
742,Jina,Art and Exhibition,feel
743,Jina,Art and Exhibition,touch
744,Jina,Art and Exhibition,anyth
745,Jina,Art and Exhibition,start
746,Jina,Art and Exhibition,make
747,Jina,Art and Exhibition,messi
748,Jina,Art and Exhibition,messi
749,Jina,Art and Exhibition,room
750,Jina,Art and Exhibition,took
751,Jina,Art and Exhibition,pictur
752,Jina,Art and Exhibition,better
753,Jina,Art and Exhibition,environ
754,Jina,Art and Exhibition,troubl
755,Jina,Art and Exhibition,look
756,Jina,Art and Exhibition,bore
757,Jina,Art and Exhibition,built
758,Jina,Art and Exhibition,end
759,Jina,Art and Exhibition,stuff
760,Jina,Art and Exhibition,want
761,Jina,Art and Exhibition,portrait
762,Jina,Art and Exhibition,look
763,Jina,Art and Exhibition,want
764,Jina,Art and Exhibition,focu
765,Jina,Art and Exhibition,express
766,Jina,Art and Exhibition,certain
767,Jina,Art and Exhibition,light
768,Jina,Art and Exhibition,captur
769,Jina,Art and Exhibition,look
770,Jina,Art and Exhibition,sad
771,Jina,Art and Exhibition,eye
772,Jina,Art and Exhibition,someth
773,Jina,Art and Exhibition,captur
774,Jina,Art and Exhibition,virtual
775,Jina,Art and Exhibition,differ
776,Jina,Art and Exhibition,photograph
